	Test Name	Time
0	test_bad_uri	1.0815401077270508
1	test_bad_uri_reference	25.825088024139404
2	test_check_wikipedia_link	0.08854079246520996
3	test_deprecated_replacement	0.20197391510009766
4	test_deprecated_replacement_obsolete	0.05450296401977539
5	test_duplicate_in_concept	93.84282612800598
6	test_empty_property	2.236135959625244
7	test_format_property_missing	6.53064489364624
8	test_formatting	18.661022901535034
9	test_id_unique	0.1343379020690918
10	test_identifier_property_missing	0.1664717197418213
11	test_literal_links	2.1890227794647217
12	test_mandatory_property_missing	452.72374391555786
13	test_missing_deprecated_property	0.5847809314727783
14	test_next_id_modif	0.7566969394683838
15	test_object_relation_obsolete	0.1579902172088623
16	test_relation_too_broad	2.0439181327819824
17	test_spelling_check	0.5218229293823242
18	test_subset_id	1.3255770206451416
19	test_super_class_refers_to_self	0.6076903343200684
